GTID,Date,Country,City,Perpetrator_group,fatalities,injured,target_type,attack_type,weapon_type
2.02012E+11,24/12/2020,Nigeria,Pemi,Boko Haram,11,Unknown,"Private Citizens & Property,Religious Figures/Institutions",Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack"
2.02012E+11,24/12/2020,Nigeria,Garkida,Boko Haram,6,Unknown,"Private Citizens & Property,Police",Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack"
2.02012E+11,24/12/2020,Nigeria,Gamboru,Boko Haram,3,Unknown,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02012E+11,23/12/2020,Nigeria,Okene district,Unknown,2,2,Military,Sub-Saharan Africa,Armed Assault
2.02012E+11,23/12/2020,Nigeria,Dar,Boko Haram,Unknown,Unknown,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02012E+11,21/12/2020,Niger,Taroum,Islamic State in the Greater Sahara (ISGS),18,3,Military,Sub-Saharan Africa,Armed Assault
2.02012E+11,21/12/2020,Nigeria,Malamai,Fulani extremists,Unknown,Unknown,"Private Citizens & Property,Private Citizens & Property",Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack"
2.02012E+11,20/12/2020,Nigeria,Funtua,Unknown,Unknown,Unknown,Private Citizens & Property,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault"
2.02012E+11,19/12/2020,Nigeria,Dandume district,Fulani extremists,0,0,Educational Institution,Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02012E+11,20/12/2020,Nigeria,Mafa,Boko Haram,5,0,Military,Sub-Saharan Africa,Bombing/Explosion
2.02012E+11,19/12/2020,Nigeria,Danbaure,Fulani extremists,0,0,"Private Citizens & Property,Private Citizens & Property",Sub-Saharan Africa,"Hostage Taking (Kidnapping),Facility/Infrastructure Attack"
2.02012E+11,19/12/2020,Nigeria,Ajiri,Boko Haram,10,Unknown,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
2.02012E+11,18/12/2020,Nigeria,Konduga,Boko Haram,4,2,Private Citizens & Property,Sub-Saharan Africa,Bombing/Explosion
2.02012E+11,18/12/2020,Nigeria,Garin Kuturu,Boko Haram,1,4,Private Citizens & Property,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack"
2.02012E+11,17/12/2020,Nigeria,Kusur,Boko Haram (suspected),0,0,Private Citizens & Property,Sub-Saharan Africa,Facility/Infrastructure Attack
2.02012E+11,15/12/2020,Ghana,Accra,Unknown,0,0,Private Citizens & Property,Sub-Saharan Africa,Facility/Infrastructure Attack
2.02012E+11,17/12/2020,Nigeria,Gora Gan,Fulani extremists,7,1,"Business,Private Citizens & Property,Private Citizens & Property",Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.02012E+11,17/12/2020,Nigeria,Funtua district,Unknown,8,0,"Private Citizens & Property,Police",Sub-Saharan Africa,Assassination
2.02012E+11,16/12/2020,Nigeria,Oba,Unknown,1,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
2.02012E+11,15/12/2020,Nigeria,Ogoja,Fulani extremists,0,1,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02012E+11,15/12/2020,Nigeria,Agboughul,Fulani extremists,3,3,Business,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.02012E+11,14/12/2020,Nigeria,Gumsa,Boko Haram (suspected),Unknown,Unknown,Private Citizens & Property,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault"
2.02012E+11,14/12/2020,Nigeria,Zairam,Boko Haram (suspected),4,Unknown,Private Citizens & Property,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault"
2.02012E+11,14/12/2020,Cameroon,Kembong,Separatists,0,0,Military,Sub-Saharan Africa,Bombing/Explosion
2.02012E+11,13/12/2020,Cameroon,Dibanda,Unknown,Unknown,Unknown,Business,Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02012E+11,13/12/2020,Cameroon,Dibanda,Separatists,1,0,Private Citizens & Property,Sub-Saharan Africa,"Assassination,Hostage Taking (Kidnapping)"
2.02012E+11,12/12/2020,Nigeria,Askira,Boko Haram,3,2,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
2.02012E+11,12/12/2020,Cameroon,Babanki,Separatists,0,0,Government (General),Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02012E+11,09/12/2020,Nigeria,Shengen,Boko Haram,Unknown,Unknown,"Government (Diplomatic),NGO",Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02012E+11,12/12/2020,Niger,Toumour,Boko Haram,34,100,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.02012E+11,11/12/2020,Nigeria,Tse Angbande,Fulani extremists,4,7,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
2.02012E+11,11/12/2020,Nigeria,Dikwa,Unknown,4,8,Private Citizens & Property,Sub-Saharan Africa,Bombing/Explosion
2.02012E+11,11/12/2020,Nigeria,Kankara,"Fulani extremists,Boko Haram (suspected)",Unknown,Unknown,Educational Institution,Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02012E+11,10/12/2020,Nigeria,Gumsa,Boko Haram,0,0,Business,Sub-Saharan Africa,Facility/Infrastructure Attack
2.02012E+11,10/12/2020,Cameroon,Bakarise,Boko Haram,0,2,Military,Sub-Saharan Africa,Bombing/Explosion
2.02012E+11,10/12/2020,Cameroon,Gakara,Boko Haram,0,1,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.02012E+11,08/12/2020,Ghana,Fomena,Unknown,0,0,Government (General),Sub-Saharan Africa,Facility/Infrastructure Attack
2.02012E+11,07/12/2020,Ghana,Kasoa,Unknown,0,2,Government (General),Sub-Saharan Africa,Assassination
2.02012E+11,06/12/2020,Cameroon,Bamenda,Unknown,0,2,Religious Figures/Institutions,Sub-Saharan Africa,Armed Assault
2.02012E+11,06/12/2020,Cameroon,Momo,Separatists,1,0,"Military,Government (General)",Sub-Saharan Africa,Assassination
2.02012E+11,04/12/2020,Niger,La Tapoa,Unknown,2,3,"Military,Government (General)",Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.02012E+11,04/12/2020,Cameroon,Wemdeley,Boko Haram,1,0,Private Citizens & Property,Sub-Saharan Africa,Assassination
2.02012E+11,04/12/2020,Cameroon,Ashigashiya,Boko Haram,3,3,Private Citizens & Property,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Facility/Infrastructure Attack"
2.02012E+11,01/12/2020,Nigeria,Wang,Fulani extremists,3,Unknown,"Private Citizens & Property,Government (General)",Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault"
2.02012E+11,01/12/2020,Nigeria,Wokilti,Boko Haram,Unknown,Unknown,"NGO,Government (General)",Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02012E+11,01/12/2020,Niger,Banizoumbou,Unknown,1,1,Military,Sub-Saharan Africa,Armed Assault
2.02011E+11,28/11/2020,Nigeria,Port Harcourt,Indigenous People of Biafra (IPOB) (suspected),0,Unknown,Religious Figures/Institutions,Sub-Saharan Africa,Bombing/Explosion
2.02011E+11,28/11/2020,Nigeria,Tor-Iorshaer,Jukun militia (suspected),4,0,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.02011E+11,28/11/2020,Nigeria,Koshobe,Boko Haram,81,6,"Private Citizens & Property,Private Citizens & Property",Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack"
2.02011E+11,27/11/2020,Nigeria,Chafa,Boko Haram,13,0,Private Citizens & Property,Sub-Saharan Africa,Unknown
2.02011E+11,26/11/2020,Nigeria,Unknown,Reformed Niger Delta Avengers (RNDA),0,0,Maritime,Sub-Saharan Africa,Hijacking
2.02011E+11,27/11/2020,Nigeria,Kareto,Boko Haram,0,0,Private Citizens & Property,Sub-Saharan Africa,Facility/Infrastructure Attack
2.02011E+11,25/11/2020,Cameroon,Guidi,Boko Haram,0,0,Private Citizens & Property,Sub-Saharan Africa,Facility/Infrastructure Attack
2.02011E+11,24/11/2020,Nigeria,Diegi,Fulani extremists,1,3,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.02011E+11,24/11/2020,Chad,Ngouboua,Boko Haram,4,16,Military,Sub-Saharan Africa,Bombing/Explosion
2.02011E+11,23/11/2020,Nigeria,Ikarama,Niger Delta extremists (suspected),0,0,Utilities,Sub-Saharan Africa,Bombing/Explosion
2.02011E+11,23/11/2020,Cameroon,Mstseliya,Boko Haram,0,0,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.02011E+11,25/11/2020,Cameroon,Gabass,Boko Haram,3,Unknown,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02011E+11,22/11/2020,Nigeria,Igbatayo,Fulani extremists,0,Unknown,Business,Sub-Saharan Africa,Facility/Infrastructure Attack
2.02011E+11,22/11/2020,Cameroon,Yegoua,Boko Haram,0,0,Private Citizens & Property,Sub-Saharan Africa,Facility/Infrastructure Attack
2.02011E+11,21/11/2020,Nigeria,Lafia,Unknown,1,0,Private Citizens & Property,Sub-Saharan Africa,Assassination
2.02011E+11,21/11/2020,Nigeria,Pilimari,Boko Haram,6,26,"Military,Terrorists/Non-state Militia",Sub-Saharan Africa,"Hijacking,Bombing/Explosion,Armed Assault"
2.02011E+11,21/11/2020,Nigeria,Unknown,Unknown,Unknown,Unknown,Utilities,Sub-Saharan Africa,Bombing/Explosion
2.02011E+11,21/11/2020,Nigeria,Unknown,Unknown,Unknown,Unknown,Utilities,Sub-Saharan Africa,Bombing/Explosion
2.02011E+11,20/11/2020,Nigeria,Dutsen Gari,Unknown,5,Unknown,Religious Figures/Institutions,Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02011E+11,19/11/2020,Nigeria,Toru Orua,Unknown,1,0,Government (General),Sub-Saharan Africa,Armed Assault
2.02011E+11,19/11/2020,Cameroon,Douala,Unknown,0,5,Business,Sub-Saharan Africa,Bombing/Explosion
2.02011E+11,18/11/2020,Nigeria,Unknown,Unknown,1,1,Government (General),Sub-Saharan Africa,Armed Assault
2.02011E+11,18/11/2020,Cameroon,Kissem,Ambazonia Restoration Forces (ARF),3,0,Military,Sub-Saharan Africa,Armed Assault
2.02011E+11,17/11/2020,Nigeria,Gidan Zaki,Fulani extremists,2,2,Government (General),Sub-Saharan Africa,Assassination
2.02011E+11,17/11/2020,Cameroon,Satomi,Boko Haram,1,Unknown,Private Citizens & Property,Sub-Saharan Africa,Assassination
2.02011E+11,17/11/2020,Nigeria,Banki,Boko Haram,5,0,Military,Sub-Saharan Africa,Armed Assault
2.02011E+11,11/11/2020,Nigeria,Owo,Fulani extremists,0,0,Educational Institution,Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02011E+11,11/11/2020,Nigeria,Miyanti,Boko Haram,2,0,Military,Sub-Saharan Africa,Unknown
2.02011E+11,09/11/2020,Cameroon,Livanda,Separatists (suspected),0,0,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02011E+11,08/11/2020,Nigeria,Pulka,Boko Haram,Unknown,Unknown,"Military,Terrorists/Non-state Militia",Sub-Saharan Africa,"Bombing/Explosion,Armed Assault"
2.02011E+11,08/11/2020,Nigeria,Gwoza,Boko Haram,1,Unknown,"Military,Terrorists/Non-state Militia,Private Citizens & Property",Sub-Saharan Africa,"Bombing/Explosion,Armed Assault"
2.02011E+11,07/11/2020,Nigeria,Karji Kaduna,Fulani extremists,Unknown,Unknown,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02011E+11,06/11/2020,Nigeria,Dande,Fulani extremists,4,1,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
2.02011E+11,06/11/2020,Cameroon,Liwu La-Malale,Separatists,1,0,Private Citizens & Property,Sub-Saharan Africa,Assassination
2.02011E+11,05/11/2020,Cameroon,Babessi,Separatists,0,0,"Government (General),Religious Figures/Institutions,Private Citizens & Property",Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02011E+11,04/11/2020,Cameroon,Fundong,Unknown,0,0,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02011E+11,04/11/2020,Cameroon,Limbe,Separatists,0,0,Educational Institution,Sub-Saharan Africa,"Hostage Taking (Barricade Incident),Facility/Infrastructure Attack"
2.02011E+11,03/11/2020,Cameroon,Bamenda,Separatists,0,0,Educational Institution,Sub-Saharan Africa,Armed Assault
2.02011E+11,03/11/2020,Cameroon,Kumbo,Ambazonia Restoration Forces (ARF),0,0,"Educational Institution,Educational Institution",Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02011E+11,02/11/2020,Nigeria,Mallam Fatori,Boko Haram,9,0,Military,Sub-Saharan Africa,Bombing/Explosion
2.02011E+11,01/11/2020,Cameroon,Yaounde,Unknown,0,4,Business,Sub-Saharan Africa,Bombing/Explosion
2.02011E+11,01/11/2020,Nigeria,Takulashi Buladunya,Boko Haram,7,Unknown,"Private Citizens & Property,Terrorists/Non-state Militia",Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack"
2.0201E+11,31/10/2020,Nigeria,Kunai,Fulani extremists,1,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
2.0201E+11,30/10/2020,Nigeria,Unknown,Boko Haram,3,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
2.0201E+11,29/10/2020,Nigeria,Magunguna,Fulani extremists,1,1,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
2.0201E+11,28/10/2020,Nigeria,Ado district,Fulani extremists (suspected),2,0,"Police,Private Citizens & Property",Sub-Saharan Africa,Armed Assault
2.0201E+11,26/10/2020,Nigeria,Kwakwa,Fulani extremists,1,1,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
2.0201E+11,24/10/2020,Nigeria,Unknown,Boko Haram,Unknown,Unknown,Military,Sub-Saharan Africa,Unknown
2.0201E+11,25/10/2020,Nigeria,Moranti,Boko Haram,8,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
2.0201E+11,24/10/2020,Nigeria,Unknown,Boko Haram,Unknown,Unknown,Military,Sub-Saharan Africa,Unknown
2.0201E+11,25/10/2020,Nigeria,Damboa,Boko Haram,20,11,Military,Sub-Saharan Africa,Armed Assault
2.0201E+11,24/10/2020,Nigeria,Babban Gida,Boko Haram,7,Unknown,"Government (General),Police,Military",Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.0201E+11,24/10/2020,Cameroon,Kumba,Separatists (suspected),8,12,Educational Institution,Sub-Saharan Africa,Armed Assault
2.0201E+11,23/10/2020,Cameroon,Bamenda,Unknown,Unknown,Unknown,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.0201E+11,23/10/2020,Niger,Tera,Unknown,2,0,Business,Sub-Saharan Africa,Bombing/Explosion
2.0201E+11,22/10/2020,Nigeria,Doska,Boko Haram,7,14,Military,Sub-Saharan Africa,Armed Assault
2.0201E+11,21/10/2020,Nigeria,Matori,Unknown,0,0,Journalists & Media,Sub-Saharan Africa,Facility/Infrastructure Attack
2.0201E+11,21/10/2020,Nigeria,Port Harcourt,Indigenous People of Biafra (IPOB),4,0,Police,Sub-Saharan Africa,Armed Assault
2.0201E+11,21/10/2020,Nigeria,Eberi,Indigenous People of Biafra (IPOB),0,0,Police,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.0201E+11,21/10/2020,Nigeria,Oyigbo district,Indigenous People of Biafra (IPOB),1,0,Police,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.0201E+11,21/10/2020,Nigeria,Afam,Indigenous People of Biafra (IPOB),1,0,Police,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.0201E+11,21/10/2020,Nigeria,Oyigbo,Indigenous People of Biafra (IPOB),1,0,Police,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.0201E+11,21/10/2020,Nigeria,Orji,Unknown,0,0,Police,Sub-Saharan Africa,Facility/Infrastructure Attack
2.0201E+11,21/10/2020,Nigeria,Ubomiri,Unknown,2,0,Military,Sub-Saharan Africa,Armed Assault
2.0201E+11,21/10/2020,Nigeria,Nworieubi,Unknown,2,0,Police,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.0201E+11,20/10/2020,Chad,Tchoukou Maria,Boko Haram,16,12,Military,Sub-Saharan Africa,Unknown
2.0201E+11,19/10/2020,Nigeria,Konduga district,Boko Haram,Unknown,Unknown,"Transportation,Private Citizens & Property",Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.0201E+11,19/10/2020,Chad,Mamdi district,Boko Haram,4,Unknown,Military,Sub-Saharan Africa,"Bombing/Explosion,Armed Assault"
2.0201E+11,19/10/2020,Nigeria,Gombe,Boko Haram,0,0,Religious Figures/Institutions,Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.0201E+11,16/10/2020,Nigeria,Jakana,Boko Haram,14,Unknown,Military,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.0201E+11,16/10/2020,Cameroon,Goumouldi,Boko Haram,0,0,Private Citizens & Property,Sub-Saharan Africa,Facility/Infrastructure Attack
2.0201E+11,16/10/2020,Cameroon,Kolofata,Unknown,1,0,Private Citizens & Property,Sub-Saharan Africa,Facility/Infrastructure Attack
2.0201E+11,16/10/2020,Cameroon,Yagoua,Boko Haram,Unknown,Unknown,Terrorists/Non-state Militia,Sub-Saharan Africa,Unknown
2.0201E+11,16/10/2020,Cameroon,Oudal,Boko Haram,3,Unknown,Private Citizens & Property,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault"
2.0201E+11,15/10/2020,Nigeria,Okofi,Unknown,3,0,Religious Figures/Institutions,Sub-Saharan Africa,Armed Assault
2.0201E+11,13/10/2020,Nigeria,Isiala Ngwa South district,Unknown,0,0,Government (General),Sub-Saharan Africa,Assassination
2.0201E+11,13/10/2020,Nigeria,Anyigba,Unknown,1,0,Government (General),Sub-Saharan Africa,Assassination
2.0201E+11,12/10/2020,Nigeria,Ngwom,Boko Haram,14,1,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.0201E+11,10/10/2020,Nigeria,Koton-Karfe district,Unknown,7,Unknown,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
2.0201E+11,09/10/2020,Nigeria,Eku,Unknown,2,0,Police,Sub-Saharan Africa,Armed Assault
2.0201E+11,09/10/2020,Ghana,Mfantsiman district,Unknown,2,0,Government (General),Sub-Saharan Africa,Assassination
2.0201E+11,08/10/2020,Ghana,Sanguli-Labaldo,Unknown,1,1,NGO,Sub-Saharan Africa,Assassination
2.0201E+11,06/10/2020,Nigeria,Wereng,Fulani extremists (suspected),6,Unknown,"Government (General),Private Citizens & Property",Sub-Saharan Africa,Assassination
2.0201E+11,03/10/2020,Nigeria,Unknown,Unknown,0,0,Government (General),Sub-Saharan Africa,Assassination
2.0201E+11,01/10/2020,Nigeria,Maraban Rido,Fulani extremists,1,Unknown,Religious Figures/Institutions,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault"
2.02009E+11,29/09/2020,Nigeria,Marte,Boko Haram,10,8,Military,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.02009E+11,28/09/2020,Nigeria,Kpachudu,Fulani extremists (suspected),3,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
2.02009E+11,28/09/2020,Ghana,Ho,Western Togoland Restoration Front (WTRF),0,Unknown,Transportation,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.02009E+11,28/09/2020,Cameroon,Zeleved,Boko Haram,2,1,Military,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.02009E+11,27/09/2020,Nigeria,Ncha,Fulani extremists (suspected),3,0,Private Citizens & Property,Sub-Saharan Africa,Unknown
2.02009E+11,27/09/2020,Nigeria,Baga,Boko Haram,Unknown,Unknown,Government (General),Sub-Saharan Africa,Assassination
2.02009E+11,26/09/2020,Nigeria,Issele-Uku,Fulani extremists (suspected),0,0,"Religious Figures/Institutions,Private Citizens & Property",Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02009E+11,25/09/2020,Ghana,Mepe,Western Togoland Restoration Front (WTRF),0,2,Police,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack"
2.02009E+11,25/09/2020,Ghana,Aveyime,Western Togoland Restoration Front (WTRF),0,3,Police,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack"
2.02009E+11,25/09/2020,Nigeria,Unknown,Boko Haram,11,13,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
2.02009E+11,25/09/2020,Nigeria,Korochara,Boko Haram,30,Unknown,"Government (General),Military,Terrorists/Non-state Militia",Sub-Saharan Africa,"Assassination,Hostage Taking (Kidnapping)"
2.02009E+11,24/09/2020,Nigeria,Gwol,Fulani extremists (suspected),5,1,Business,Sub-Saharan Africa,Armed Assault
2.02009E+11,23/09/2020,Nigeria,Owaza,Indigenous People of Biafra (IPOB),4,Unknown,Military,Sub-Saharan Africa,Armed Assault
2.02009E+11,23/09/2020,Nigeria,Unknown,Boko Haram,Unknown,Unknown,Unknown,Sub-Saharan Africa,Facility/Infrastructure Attack
2.02009E+11,23/09/2020,Nigeria,Mandaragraw,Boko Haram,3,7,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
2.02009E+11,22/09/2020,Nigeria,Riyom district,Fulani extremists (suspected),0,9,Business,Sub-Saharan Africa,Armed Assault
2.02009E+11,21/09/2020,Nigeria,Foron,Fulani extremists (suspected),1,0,Government (General),Sub-Saharan Africa,Assassination
2.02009E+11,20/09/2020,Nigeria,Damasak,Boko Haram (suspected),0,0,Private Citizens & Property,Sub-Saharan Africa,Unknown
2.02009E+11,20/09/2020,Nigeria,Magumeri,Unknown,2,0,"Private Citizens & Property,Police",Sub-Saharan Africa,Unknown
2.02009E+11,20/09/2020,Nigeria,Tse-Apera,Fulani extremists (suspected),5,7,Private Citizens & Property,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault,Facility/Infrastructure Attack"
2.02009E+11,20/09/2020,Nigeria,Sabon Gari-Wajiroko,Boko Haram,4,0,Military,Sub-Saharan Africa,Unknown
2.02009E+11,19/09/2020,Cameroon,Bamenda,Ambazonia Restoration Forces (ARF),1,2,Police,Sub-Saharan Africa,Armed Assault
2.02009E+11,18/09/2020,Cameroon,Kassa,Boko Haram,2,Unknown,Private Citizens & Property,Sub-Saharan Africa,Unknown
2.02009E+11,17/09/2020,Nigeria,Gidan Madi,Unknown,2,1,"Private Citizens & Property,Police",Sub-Saharan Africa,Armed Assault
2.02009E+11,17/09/2020,Nigeria,Egume,Fulani extremists,1,Unknown,Business,Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault"
2.02009E+11,15/09/2020,Nigeria,Wassaram,Boko Haram,10,2,"Private Citizens & Property,Private Citizens & Property,Transportation",Sub-Saharan Africa,"Hostage Taking (Kidnapping),Armed Assault"
2.02009E+11,14/09/2020,Nigeria,Igirigiri,Unknown,1,0,Government (General),Sub-Saharan Africa,Assassination
2.02009E+11,14/09/2020,Cameroon,Bongongo,Separatists,3,1,"Military,Private Citizens & Property",Sub-Saharan Africa,"Bombing/Explosion,Armed Assault"
2.02009E+11,11/09/2020,Nigeria,Manyi-Mashin,Fulani extremists,2,0,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.02009E+11,11/09/2020,Cameroon,Zeleved,Boko Haram,6,10,"Government (General),Private Citizens & Property",Sub-Saharan Africa,Assassination
2.02009E+11,11/09/2020,Nigeria,Kareto,Boko Haram,0,0,"Government (General),Private Citizens & Property",Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02009E+11,09/09/2020,Nigeria,Unknown,Atyap militia,0,0,Private Citizens & Property,Sub-Saharan Africa,Unknown
2.02009E+11,09/09/2020,Nigeria,Bakin Kogi,Atyap militia,1,0,Private Citizens & Property,Sub-Saharan Africa,Unknown
2.02009E+11,09/09/2020,Cameroon,Talakachi,Boko Haram (suspected),0,7,Private Citizens & Property,Sub-Saharan Africa,Bombing/Explosion
2.02009E+11,08/09/2020,Nigeria,Gora,Atyap militia,3,2,Private Citizens & Property,Sub-Saharan Africa,Unknown
2.02009E+11,08/09/2020,Nigeria,Kitsarapang,Fulani extremists (suspected),1,2,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
2.02009E+11,08/09/2020,Nigeria,Atakmawei,Fulani extremists,1,2,"Private Citizens & Property,Private Citizens & Property",Sub-Saharan Africa,Armed Assault
2.02009E+11,06/09/2020,Nigeria,Maiduguri,Boko Haram,2,Unknown,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02009E+11,06/09/2020,Nigeria,Maiduguri,Boko Haram,4,0,Private Citizens & Property,Sub-Saharan Africa,Armed Assault
